Nested Sampling Global Log-Evidence           :   -0.859840364130552537E+01  +/-    0.834413512540272129E-01
Nested Importance Sampling Global Log-Evidence:   -0.978209504703229804E+01  +/-    0.292573056537010177E-01

Dim No.       Mean        Sigma
   1   -0.693496005251033321E+01    0.385616972152607707E+00
   2   -0.103415439368433160E+01    0.256711968912521404E+00
   3    0.117046269962950156E+01    0.660025300519672897E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.662056812558903829E+01
   2   -0.739534819560904388E+00
   3    0.139556795945382750E+01

MAP Parameters
Dim No.        Parameter
   1   -0.660072648525238037E+01
   2   -0.683186531066894531E+00
   3    0.158000896453857420E+01
