   -0.723049679228897269E+01   -0.137026040681847516E+01    0.466687374237560404E+00   -0.613497360407538750E+01
   -0.720039441585540807E+01   -0.103893992900848398E+01    0.125323578119277940E+00   -0.585460251937851872E+01
   -0.786141459372710649E+01   -0.153150299256233979E+01    0.620045162555771356E+00   -0.523831711676029599E+01
   -0.741238731557374741E+01   -0.125425064795013164E+01    0.144459818196323808E+01   -0.464553820521712346E+01
   -0.684600781112936030E+01   -0.978983755949014989E+00    0.132839004080763967E+01   -0.447926342568678937E+01
   -0.627298917035491321E+01   -0.537344013514964969E+00    0.148053414169052600E+01   -0.396265493163474769E+01
   -0.668895334536155950E+01   -0.256719187245409985E+00    0.421369340670397274E+00   -0.395461445738368234E+01
   -0.744781505346190720E+01   -0.139086890954125653E+01    0.675277891249118634E+00   -0.388042427605278029E+01
   -0.709357817519245160E+01   -0.126988306011542162E+01    0.339413994805711994E+00   -0.379189746701633101E+01
   -0.616858030695051873E+01   -0.637333188677402074E+00    0.220105234172284847E+01   -0.369760293683309671E+01
   -0.617707328056776106E+01   -0.411512755355041282E-01    0.164029394752376811E+01   -0.367514898049912064E+01
   -0.680124415695866169E+01   -0.920504280053245139E+00    0.433366089765482687E+00   -0.363229567731550107E+01
   -0.756268981241425209E+01   -0.126701055483654845E+01    0.329715712098790581E+00   -0.359877987798673526E+01
   -0.773423737225247354E+01   -0.135051897193158377E+01    0.101370347987839882E+01   -0.350993142358823196E+01
   -0.678645486831665057E+01   -0.405893647670745761E+00    0.989992295503616337E+00   -0.348720763108040455E+01
   -0.735630612713402510E+01   -0.100754022838026058E+01    0.442637591090247362E+00   -0.343798998388085097E+01
   -0.589080165866838890E+01   -0.563165824861390663E+00    0.278916504784072217E+01   -0.339080143044724647E+01
   -0.686576409322629289E+01   -0.940800007006753258E+00    0.958521417159187372E+00   -0.325158300572655312E+01
   -0.776311809289062094E+01   -0.142169738908597232E+01    0.859780087022623318E+00   -0.322929586073183073E+01
   -0.607094381168112740E+01   -0.297278833445442370E-01    0.748077127947913367E+00   -0.320708299741937619E+01
